event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 54.159.165.80 | 9ca47df0a99ce62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/user_progress?select=total_pp%2Cchapters_completed%2Cthemes_completed%2Ccompleted_themes&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f | node,8fd78114-5866-4fcf-9e0b-1cc2616912a2,eeqayafsbxvrvpiycbir,GET,/rest/v1/user_progress,?select=total_pp%2Cchapters_completed%2Cthemes_completed%2Ccompleted_themes&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f,200,1770484134518000
PATCH | 204 | 54.159.165.80 | 9ca47df04802058c | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/user_progress?user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f | node,9214d991-a9b3-4f4f-a9b8-49a481dc260e,eeqayafsbxvrvpiycbir,PATCH,/rest/v1/user_progress,?user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f,204,1770484134464000
POST | 204 | 54.159.165.80 | 9ca47df00fcde62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/update_theme_progress | node,8efc1c0f-4083-486d-8d6c-777d2498d907,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/update_theme_progress,null,204,1770484134424000
GET | 200 | 54.159.165.80 | 9ca47defdf3fe62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/user_progress?select=*&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f | node,48a3062a-cdac-4992-af68-fa13bb762f55,eeqayafsbxvrvpiycbir,GET,/rest/v1/user_progress,?select=*&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f,200,1770484134388000
POST | 200 | 54.159.165.80 | 9ca47defaecbe62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_theme_progress | node,6e7d8ddf-e1ee-4523-8dc1-984ed1bb8c5c,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_theme_progress,null,200,1770484134356000
GET | 200 | 54.159.165.80 | 9ca47def6f05058c | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/themes?select=is_event%2Cis_active%2Cevent_start_date%2Cevent_end_date&name=ilike.comedy | node,8754bfb7-3dfd-4778-bec5-2eb0e759ec8a,eeqayafsbxvrvpiycbir,GET,/rest/v1/themes,?select=is_event%2Cis_active%2Cevent_start_date%2Cevent_end_date&name=ilike.comedy,200,1770484134319000
GET | 200 | 54.159.165.80 | 9ca47def3d91e62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/pp_audit?select=pp_gained&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f&theme=neq.ONBOARDING_BONUS&created_at=gte.2026-02-06T17%3A08%3A54.272Z | node,8f47fb86-cd11-4436-ad44-7919d678233a,eeqayafsbxvrvpiycbir,GET,/rest/v1/pp_audit,?select=pp_gained&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f&theme=neq.ONBOARDING_BONUS&created_at=gte.2026-02-06T17%3A08%3A54.272Z,200,1770484134285000
GET | 200 | 54.159.165.80 | 9ca47deefe6b058c | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/pp_audit?select=pp_gained&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f&theme=neq.ONBOARDING_BONUS&created_at=gte.2026-02-07T16%3A08%3A54.231Z | node,da3294ec-dd7b-4e6f-8080-e428867934ea,eeqayafsbxvrvpiycbir,GET,/rest/v1/pp_audit,?select=pp_gained&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f&theme=neq.ONBOARDING_BONUS&created_at=gte.2026-02-07T16%3A08%3A54.231Z,200,1770484134248000
POST | 204 | 54.159.165.80 | 9ca47deebc1fe62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/increment_global_stat | node,0d9e219a-a500-4504-8b50-fce871b1b89b,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/increment_global_stat,null,204,1770484134210000
POST | 200 | 54.159.165.80 | 9ca47dee7b83e62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_theme_progress | node,853b6cdf-0c45-497d-9789-5c6ee7d6667b,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_theme_progress,null,200,1770484134170000
